"Gene","Group","N","Deaths","Median_OS_years"
"JAK3","Reference",871,124,10.8008213552361
"JAK3","Aberrant",221,27,10.839151266256
"EPHB2","Reference",652,82,12.1998631074606
"EPHB2","Aberrant",440,69,9.4757015742642
