"Gene","Tumor_n","Normal_n","Tumor_median_TPM","Normal_median_TPM","Tumor_mean_TPM","Normal_mean_TPM","Median_log2TPM1_difference","Wilcoxon_P","Wilcoxon_FDR"
"JAK3",511,51,9.727,9.175,14.4515610567515,10.3014019607843,0.0762178621919167,0.134703203658895,0.134703203658895
"EPHB2",511,51,6.7479,2.1813,10.7132684931507,2.4970568627451,1.28418890761459,2.22044604925031e-16,4.44089209850063e-16
