"Gene","Group","N","Deaths","Median_OS_years"
"JAK3","Reference",378,162,4.75290896646133
"JAK3","Aberrant",117,50,3.25530458590007
"EPHB2","Reference",180,73,5.29226557152635
"EPHB2","Aberrant",315,139,3.66324435318275
