"Gene","Grade_patient_n","Kruskal_Wallis_P","Spearman_rho","Grade_trend_P","Kruskal_Wallis_FDR","Grade_trend_FDR"
"JAK3",429,7.54419813098807e-09,0.279801639194743,3.71032639953698e-09,1.50883962619761e-08,7.42065279907396e-09
"EPHB2",429,0.00766446796702894,0.147951799664169,0.00212338697069837,0.00766446796702894,0.00212338697069837
