"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BLCA","716e7829-401e-42de-b8c4-a07ca3e275cc","TCGA-BT-A20Q-11A-11R-A14Y-07","TCGA-BT-A20Q","Solid Tissue Normal","EPHB2","ENSG00000133216",235,2.3542,0.6146,0.8397,"OK"
"TCGA-BLCA","d8a8fb13-b8db-4294-8f50-1f3087020ee9","TCGA-DK-A3IM-01A-11R-A20F-07","TCGA-DK-A3IM","Primary Tumor","JAK3","ENSG00000105639",291,2.1541,0.6752,0.7436,"OK"
"TCGA-BLCA","d8a8fb13-b8db-4294-8f50-1f3087020ee9","TCGA-DK-A3IM-01A-11R-A20F-07","TCGA-DK-A3IM","Primary Tumor","EPHB2","ENSG00000133216",2418,9.743,3.0539,3.3632,"OK"
"TCGA-BLCA","b483de59-dbd3-4fab-924f-2879bafff19b","TCGA-BT-A20W-01A-21R-A14Y-07","TCGA-BT-A20W","Primary Tumor","JAK3","ENSG00000105639",773,10.1348,3.5599,3.6535,"OK"
"TCGA-BLCA","b483de59-dbd3-4fab-924f-2879bafff19b","TCGA-BT-A20W-01A-21R-A14Y-07","TCGA-BT-A20W","Primary Tumor","EPHB2","ENSG00000133216",806,5.7523,2.0205,2.0736,"OK"
"TCGA-BLCA","2e7e37e4-d854-4c8f-bfdf-ba8ebb63d8c9","TCGA-C4-A0F6-01A-11R-A10U-07","TCGA-C4-A0F6","Primary Tumor","JAK3","ENSG00000105639",192,2.7175,1.0183,1.0609,"OK"
"TCGA-BLCA","2e7e37e4-d854-4c8f-bfdf-ba8ebb63d8c9","TCGA-C4-A0F6-01A-11R-A10U-07","TCGA-C4-A0F6","Primary Tumor","EPHB2","ENSG00000133216",717,5.524,2.0699,2.1565,"OK"
"TCGA-BLCA","ab504dbf-e1f0-46d2-83f9-0f4066055c71","TCGA-DK-AA6P-01A-11R-A39I-07","TCGA-DK-AA6P","Primary Tumor","JAK3","ENSG00000105639",244,2.9932,1.0184,1.01,"OK"
"TCGA-BLCA","ab504dbf-e1f0-46d2-83f9-0f4066055c71","TCGA-DK-AA6P-01A-11R-A39I-07","TCGA-DK-AA6P","Primary Tumor","EPHB2","ENSG00000133216",359,2.3972,0.8156,0.8089,"OK"
"TCGA-BLCA","d6d294a6-caa8-49d2-87a3-73b0aff9e07e","TCGA-GC-A3WC-11A-11R-A22U-07","TCGA-GC-A3WC","Solid Tissue Normal","JAK3","ENSG00000105639",1439,17.067,5.2311,5.9804,"OK"
"TCGA-BLCA","d6d294a6-caa8-49d2-87a3-73b0aff9e07e","TCGA-GC-A3WC-11A-11R-A22U-07","TCGA-GC-A3WC","Solid Tissue Normal","EPHB2","ENSG00000133216",468,3.0214,0.9261,1.0587,"OK"
"TCGA-BLCA","88e89f3e-3539-4d5d-b2e4-d22c8bd364d8","TCGA-ZF-A9RC-01A-11R-A38B-07","TCGA-ZF-A9RC","Primary Tumor","JAK3","ENSG00000105639",626,7.7758,2.7208,2.8024,"OK"
"TCGA-BLCA","88e89f3e-3539-4d5d-b2e4-d22c8bd364d8","TCGA-ZF-A9RC-01A-11R-A38B-07","TCGA-ZF-A9RC","Primary Tumor","EPHB2","ENSG00000133216",1558,10.5345,3.6861,3.7967,"OK"
"TCGA-BLCA","443fc087-28b0-408b-8e71-66198f1f15a1","TCGA-BL-A13J-11A-13R-A10U-07","TCGA-BL-A13J","Solid Tissue Normal","JAK3","ENSG00000105639",61,0.9894,0.2607,0.3314,"OK"
"TCGA-BLCA","443fc087-28b0-408b-8e71-66198f1f15a1","TCGA-BL-A13J-11A-13R-A10U-07","TCGA-BL-A13J","Solid Tissue Normal","EPHB2","ENSG00000133216",137,1.2096,0.3187,0.4051,"OK"
"TCGA-BLCA","4760b098-978b-4f2f-9bff-127d8edb48de","TCGA-BL-A13J-01A-11R-A277-07","TCGA-BL-A13J","Primary Tumor","JAK3","ENSG00000105639",478,4.4485,1.5743,1.5961,"OK"
"TCGA-BLCA","4760b098-978b-4f2f-9bff-127d8edb48de","TCGA-BL-A13J-01A-11R-A277-07","TCGA-BL-A13J","Primary Tumor","EPHB2","ENSG00000133216",1040,5.2685,1.8645,1.8903,"OK"
"TCGA-BLCA","c29d0f98-e33d-48df-a395-fa431cb1b1ba","TCGA-FD-A5BV-01A-11R-A26T-07","TCGA-FD-A5BV","Primary Tumor","JAK3","ENSG00000105639",494,5.8803,2.4656,2.5803,"OK"
"TCGA-BLCA","c29d0f98-e33d-48df-a395-fa431cb1b1ba","TCGA-FD-A5BV-01A-11R-A26T-07","TCGA-FD-A5BV","Primary Tumor","EPHB2","ENSG00000133216",1328,8.6049,3.608,3.7758,"OK"
"TCGA-BLCA","cb2a6de7-fbad-4101-aeae-c191e64818ae","TCGA-FD-A3SP-01A-31R-A22U-07","TCGA-FD-A3SP","Primary Tumor","JAK3","ENSG00000105639",2422,25.2959,6.9569,7.466,"OK"
"TCGA-BLCA","cb2a6de7-fbad-4101-aeae-c191e64818ae","TCGA-FD-A3SP-01A-31R-A22U-07","TCGA-FD-A3SP","Primary Tumor","EPHB2","ENSG00000133216",2731,15.5264,4.2701,4.5826,"OK"
"TCGA-BLCA","a0b6f91d-1921-4ec6-825f-c8a1cbc8649e","TCGA-UY-A78N-01A-12R-A33J-07","TCGA-UY-A78N","Primary Tumor","JAK3","ENSG00000105639",545,4.7368,1.5205,1.5591,"OK"
"TCGA-BLCA","a0b6f91d-1921-4ec6-825f-c8a1cbc8649e","TCGA-UY-A78N-01A-12R-A33J-07","TCGA-UY-A78N","Primary Tumor","EPHB2","ENSG00000133216",1136,5.3745,1.7252,1.769,"OK"
"TCGA-BLCA","fc157386-3d8e-432b-b2e4-643daaa05e58","TCGA-XF-A9T0-01A-11R-A39I-07","TCGA-XF-A9T0","Primary Tumor","JAK3","ENSG00000105639",804,9.0148,3.1879,3.1901,"OK"
"TCGA-BLCA","fc157386-3d8e-432b-b2e4-643daaa05e58","TCGA-XF-A9T0-01A-11R-A39I-07","TCGA-XF-A9T0","Primary Tumor","EPHB2","ENSG00000133216",210,1.2817,0.4533,0.4536,"OK"
"TCGA-BLCA","c31ed820-660d-4266-8b67-7a0228f2df77","TCGA-ZF-AA4U-01A-11R-A38B-07","TCGA-ZF-AA4U","Primary Tumor","JAK3","ENSG00000105639",135,1.5326,0.5029,0.5402,"OK"
"TCGA-BLCA","c31ed820-660d-4266-8b67-7a0228f2df77","TCGA-ZF-AA4U-01A-11R-A38B-07","TCGA-ZF-AA4U","Primary Tumor","EPHB2","ENSG00000133216",200,1.2359,0.4055,0.4357,"OK"
"TCGA-BLCA","3ba4be06-32ea-47aa-9f6f-2f4befd1bd6b","TCGA-E7-A5KF-01A-11R-A28M-07","TCGA-E7-A5KF","Primary Tumor","JAK3","ENSG00000105639",234,2.4375,0.708,0.6845,"OK"
