"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BLCA","b8e668aa-1359-418b-9cd6-dc200dd91706","TCGA-ZF-AA4N-01A-11R-A38B-07","TCGA-ZF-AA4N","Primary Tumor","JAK3","ENSG00000105639",432,5.7695,1.7304,1.9052,"OK"
"TCGA-BLCA","b8e668aa-1359-418b-9cd6-dc200dd91706","TCGA-ZF-AA4N-01A-11R-A38B-07","TCGA-ZF-AA4N","Primary Tumor","EPHB2","ENSG00000133216",1272,9.2474,2.7735,3.0536,"OK"
"TCGA-BLCA","51a41e15-b4aa-414d-97df-5ea3b2311a8f","TCGA-DK-A1AA-01A-11R-A13Y-07","TCGA-DK-A1AA","Primary Tumor","JAK3","ENSG00000105639",433,3.1592,0.9827,1.0195,"OK"
"TCGA-BLCA","51a41e15-b4aa-414d-97df-5ea3b2311a8f","TCGA-DK-A1AA-01A-11R-A13Y-07","TCGA-DK-A1AA","Primary Tumor","EPHB2","ENSG00000133216",225,0.8936,0.278,0.2884,"OK"
"TCGA-BLCA","3eb51a70-fec9-4f37-9f16-ac74229f68e9","TCGA-HQ-A5ND-01A-11R-A26T-07","TCGA-HQ-A5ND","Primary Tumor","JAK3","ENSG00000105639",198,2.3773,0.6773,0.6629,"OK"
"TCGA-BLCA","3eb51a70-fec9-4f37-9f16-ac74229f68e9","TCGA-HQ-A5ND-01A-11R-A26T-07","TCGA-HQ-A5ND","Primary Tumor","EPHB2","ENSG00000133216",2259,14.764,4.2066,4.1172,"OK"
"TCGA-BLCA","2d300d54-7067-450d-b4c9-ad8c3642ba0a","TCGA-DK-AA74-01A-11R-A39I-07","TCGA-DK-AA74","Primary Tumor","JAK3","ENSG00000105639",2029,34.7205,11.7051,14.2019,"OK"
"TCGA-BLCA","2d300d54-7067-450d-b4c9-ad8c3642ba0a","TCGA-DK-AA74-01A-11R-A39I-07","TCGA-DK-AA74","Primary Tumor","EPHB2","ENSG00000133216",1866,17.3815,5.8597,7.1097,"OK"
"TCGA-BLCA","58508378-0fc5-45f9-bf10-1cb171c3e662","TCGA-GV-A3QI-01A-11R-A220-07","TCGA-GV-A3QI","Primary Tumor","JAK3","ENSG00000105639",423,3.532,0.9871,0.8453,"OK"
"TCGA-BLCA","58508378-0fc5-45f9-bf10-1cb171c3e662","TCGA-GV-A3QI-01A-11R-A220-07","TCGA-GV-A3QI","Primary Tumor","EPHB2","ENSG00000133216",708,3.218,0.8993,0.7701,"OK"
"TCGA-BLCA","762ea2fc-6b8d-4d68-9b2a-98a40b584065","TCGA-PQ-A6FI-01A-11R-A31N-07","TCGA-PQ-A6FI","Primary Tumor","JAK3","ENSG00000105639",910,7.1903,2.1852,2.4715,"OK"
"TCGA-BLCA","762ea2fc-6b8d-4d68-9b2a-98a40b584065","TCGA-PQ-A6FI-01A-11R-A31N-07","TCGA-PQ-A6FI","Primary Tumor","EPHB2","ENSG00000133216",1464,6.2968,1.9137,2.1644,"OK"
"TCGA-BLCA","7a47ff36-fa81-4b90-b88c-93f67128570e","TCGA-FD-A6TG-01A-11R-A32O-07","TCGA-FD-A6TG","Primary Tumor","JAK3","ENSG00000105639",672,5.3274,1.846,2.0367,"OK"
"TCGA-BLCA","7a47ff36-fa81-4b90-b88c-93f67128570e","TCGA-FD-A6TG-01A-11R-A32O-07","TCGA-FD-A6TG","Primary Tumor","EPHB2","ENSG00000133216",1260,5.4374,1.8841,2.0787,"OK"
"TCGA-BLCA","905e8f71-2689-4ce1-98e2-4cce62d2b095","TCGA-GV-A3JV-01A-11R-A220-07","TCGA-GV-A3JV","Primary Tumor","JAK3","ENSG00000105639",810,5.9659,2.029,2.1792,"OK"
"TCGA-BLCA","905e8f71-2689-4ce1-98e2-4cce62d2b095","TCGA-GV-A3JV-01A-11R-A220-07","TCGA-GV-A3JV","Primary Tumor","EPHB2","ENSG00000133216",2362,9.4699,3.2206,3.4592,"OK"
"TCGA-BLCA","a1abdff1-2677-4c32-a91c-cb1623ef462c","TCGA-FD-A62S-01A-11R-A30C-07","TCGA-FD-A62S","Primary Tumor","JAK3","ENSG00000105639",1739,17.5898,4.9503,5.2551,"OK"
"TCGA-BLCA","a1abdff1-2677-4c32-a91c-cb1623ef462c","TCGA-FD-A62S-01A-11R-A30C-07","TCGA-FD-A62S","Primary Tumor","EPHB2","ENSG00000133216",7311,40.2541,11.3288,12.0262,"OK"
"TCGA-BLCA","d7c791d1-bf6c-4542-a2b0-ae98db5aa653","TCGA-DK-AA6X-01A-12R-A42T-07","TCGA-DK-AA6X","Primary Tumor","JAK3","ENSG00000105639",649,10.7619,3.8441,3.6755,"OK"
"TCGA-BLCA","d7c791d1-bf6c-4542-a2b0-ae98db5aa653","TCGA-DK-AA6X-01A-12R-A42T-07","TCGA-DK-AA6X","Primary Tumor","EPHB2","ENSG00000133216",378,3.412,1.2187,1.1653,"OK"
"TCGA-BLCA","88281ea7-a99b-4164-a8f7-ec4395bdc816","TCGA-E7-A97P-01A-11R-A38B-07","TCGA-E7-A97P","Primary Tumor","JAK3","ENSG00000105639",2211,25.0405,7.6185,7.9814,"OK"
"TCGA-BLCA","88281ea7-a99b-4164-a8f7-ec4395bdc816","TCGA-E7-A97P-01A-11R-A38B-07","TCGA-E7-A97P","Primary Tumor","EPHB2","ENSG00000133216",884,5.4498,1.6581,1.7371,"OK"
"TCGA-BLCA","b1f22228-9e1b-42a3-8f60-ff0e60b4612b","TCGA-BT-A20T-01A-11R-A14Y-07","TCGA-BT-A20T","Primary Tumor","JAK3","ENSG00000105639",398,6.1902,2.2074,2.4003,"OK"
"TCGA-BLCA","b1f22228-9e1b-42a3-8f60-ff0e60b4612b","TCGA-BT-A20T-01A-11R-A14Y-07","TCGA-BT-A20T","Primary Tumor","EPHB2","ENSG00000133216",157,1.3292,0.474,0.5154,"OK"
"TCGA-BLCA","a4dbc388-4b0d-499a-82a8-77ca1aed53da","TCGA-XF-AAMH-01A-11R-A42T-07","TCGA-XF-AAMH","Primary Tumor","JAK3","ENSG00000105639",281,2.7756,0.9282,1.1254,"OK"
"TCGA-BLCA","a4dbc388-4b0d-499a-82a8-77ca1aed53da","TCGA-XF-AAMH-01A-11R-A42T-07","TCGA-XF-AAMH","Primary Tumor","EPHB2","ENSG00000133216",429,2.3066,0.7714,0.9352,"OK"
"TCGA-BLCA","2279f129-d06d-43f7-9f16-6e8d3a4feb56","TCGA-CF-A47W-01A-11R-A23W-07","TCGA-CF-A47W","Primary Tumor","JAK3","ENSG00000105639",673,4.5949,1.8921,2.4258,"OK"
"TCGA-BLCA","2279f129-d06d-43f7-9f16-6e8d3a4feb56","TCGA-CF-A47W-01A-11R-A23W-07","TCGA-CF-A47W","Primary Tumor","EPHB2","ENSG00000133216",161,0.5984,0.2464,0.3159,"OK"
"TCGA-BLCA","4355a25b-da41-4e70-8c23-1d5ddfdbf7ea","TCGA-4Z-AA7M-01A-11R-A39I-07","TCGA-4Z-AA7M","Primary Tumor","JAK3","ENSG00000105639",643,8.1159,2.6113,2.4986,"OK"
"TCGA-BLCA","4355a25b-da41-4e70-8c23-1d5ddfdbf7ea","TCGA-4Z-AA7M-01A-11R-A39I-07","TCGA-4Z-AA7M","Primary Tumor","EPHB2","ENSG00000133216",403,2.7689,0.8909,0.8524,"OK"
