"Gene","Grade","N","Median_TPM","Mean_TPM","Aberrant_n","Aberrant_percent"
"JAK3","Low Grade",19,3.3044,3.99707368421053,0,0
"JAK3","High Grade",223,6.1789,10.3614762331839,14,6.2780269058296
"EPHB2","Low Grade",19,2.2568,3.82543157894737,3,15.7894736842105
"EPHB2","High Grade",223,6.8181,9.89867623318386,104,46.6367713004484
