"Gene","Tumor_n","Normal_n","Tumor_median_TPM","Normal_median_TPM","Tumor_mean_TPM","Normal_mean_TPM","Median_log2TPM1_difference","Wilcoxon_P","Wilcoxon_FDR"
"JAK3",412,19,6.31015,5.8024,9.57906553398058,9.71777894736842,0.103856247970799,0.391906782192833,0.391906782192833
"EPHB2",412,19,6.99535,2.71,10.558332038835,3.14895263157895,1.10773626480755,7.53584067887392e-05,0.000150716813577478
