"Gene","Comparison","Early_stage_definition","Early_tumor_n","Normal_n","Early_tumor_median_TPM","Normal_median_TPM","Median_log2TPM1_difference","Direction","Wilcoxon_P","Aberrant_early_n","Aberrant_early_percent","Wilcoxon_FDR"
"JAK3","Stage I+II tumor vs normal","Stage I + Stage II",109,19,5.9677,5.8024,0.0346386658509488,"UP",0.564362604632175,6,5.5045871559633,0.564362604632175
"EPHB2","Stage I+II tumor vs normal","Stage I + Stage II",109,19,5.7523,2.71,0.863959816561791,"UP",0.00273723267880177,41,37.6146788990826,0.00547446535760354
