"Gene","Comparison","Early_stage_definition","Early_tumor_n","Normal_n","Early_tumor_median_TPM","Normal_median_TPM","Median_log2TPM1_difference","Direction","Wilcoxon_P","Aberrant_early_n","Aberrant_early_percent","Wilcoxon_FDR"
"JAK3","Stage I tumor vs normal","Stage I",9,19,5.2326,5.8024,-0.126209717546748,"DOWN",0.882677641268526,0,0,0.882677641268526
"EPHB2","Stage I tumor vs normal","Stage I",9,19,3.958,2.71,0.418339084578557,"UP",0.491020538805856,3,33.3333333333333,0.882677641268526
