"Gene","Survival_patient_n","Survival_deaths","Continuous_model_n","Continuous_HR","Continuous_lower95","Continuous_upper95","Continuous_P","Adjusted_model_n","Adjusted_deaths","Adjusted_HR","Adjusted_lower95","Adjusted_upper95","Adjusted_P","Gene_PH_P","Global_PH_P","Adjustment","Grade_adjustment","Continuous_FDR","Adjusted_FDR"
"JAK3",495,212,495,1.03671070471408,0.906199676255425,1.18601795325054,0.599456895850591,475,210,1.00774442020979,0.880770869746303,1.15302271152143,0.910605525182419,0.981241080632008,0.641587468562481,"Age + sex + early/advanced pathologic stage","Unavailable: TCGA-LUSC GDC tumor_grade field unpopulated",0.599456895850591,0.910605525182419
"EPHB2",495,212,495,1.07928684646037,0.964647026202191,1.20755060172467,0.18294430456779,475,210,1.06813353805947,0.953533858440543,1.1965062855695,0.255004645130497,0.0760850844326669,0.225963764017821,"Age + sex + early/advanced pathologic stage","Unavailable: TCGA-LUSC GDC tumor_grade field unpopulated",0.36588860913558,0.510009290260993
