"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-LUSC","0f6c6bd3-2f1c-4358-9ce0-00cbef1693bc","TCGA-60-2711-01A-01R-0851-07","TCGA-60-2711","Primary Tumor","EPHB2","ENSG00000133216",1002,4.4121,1.3374,1.3322,"OK"
"TCGA-LUSC","78ef6ada-3aa8-40fa-9bd6-c491dd31f96d","TCGA-66-2759-01A-01R-0851-07","TCGA-66-2759","Primary Tumor","JAK3","ENSG00000105639",1131,9.4784,2.9272,3.0082,"OK"
"TCGA-LUSC","78ef6ada-3aa8-40fa-9bd6-c491dd31f96d","TCGA-66-2759-01A-01R-0851-07","TCGA-66-2759","Primary Tumor","EPHB2","ENSG00000133216",1706,7.7826,2.4035,2.47,"OK"
"TCGA-LUSC","d1b72b3b-df9d-49b5-a2f2-b59f283b8735","TCGA-56-8082-01A-11R-2247-07","TCGA-56-8082","Primary Tumor","JAK3","ENSG00000105639",345,4.1307,1.0984,1.0351,"OK"
"TCGA-LUSC","d1b72b3b-df9d-49b5-a2f2-b59f283b8735","TCGA-56-8082-01A-11R-2247-07","TCGA-56-8082","Primary Tumor","EPHB2","ENSG00000133216",336,2.1898,0.5823,0.5487,"OK"
"TCGA-LUSC","f9c280f7-4975-4970-806d-2cf4b94ccf74","TCGA-43-6770-01A-11R-1820-07","TCGA-43-6770","Primary Tumor","JAK3","ENSG00000105639",1279,8.0324,2.0697,2.2217,"OK"
"TCGA-LUSC","f9c280f7-4975-4970-806d-2cf4b94ccf74","TCGA-43-6770-01A-11R-1820-07","TCGA-43-6770","Primary Tumor","EPHB2","ENSG00000133216",1270,4.3416,1.1187,1.2009,"OK"
"TCGA-LUSC","87db73f9-c9db-4797-b02e-28373c9b5bbb","TCGA-77-8150-01A-11R-2247-07","TCGA-77-8150","Primary Tumor","JAK3","ENSG00000105639",578,17.3084,5.6556,5.273,"OK"
"TCGA-LUSC","87db73f9-c9db-4797-b02e-28373c9b5bbb","TCGA-77-8150-01A-11R-2247-07","TCGA-77-8150","Primary Tumor","EPHB2","ENSG00000133216",76,1.2388,0.4048,0.3774,"OK"
"TCGA-LUSC","771fb64d-317e-4eeb-8945-b3446848294a","TCGA-22-0940-01A-01R-0692-07","TCGA-22-0940","Primary Tumor","JAK3","ENSG00000105639",1621,11.697,3.9937,4.4088,"OK"
"TCGA-LUSC","771fb64d-317e-4eeb-8945-b3446848294a","TCGA-22-0940-01A-01R-0692-07","TCGA-22-0940","Primary Tumor","EPHB2","ENSG00000133216",6433,25.2683,8.6275,9.5241,"OK"
"TCGA-LUSC","6896f254-0a80-40de-a674-02685d335151","TCGA-22-5478-01A-01R-1635-07","TCGA-22-5478","Primary Tumor","JAK3","ENSG00000105639",2317,15.9117,4.606,4.4983,"OK"
