"patient_id","Tumor_TPM","Normal_TPM","Gene","Tumor_log2TPM1","Normal_log2TPM1","Difference"
"TCGA-22-4593",21.1675,7.3598,"JAK3",4.47037417041625,3.06346842765787,1.40690574275837
"TCGA-22-4609",17.1673,7.1306,"JAK3",4.18327211896949,3.02336182033038,1.15991029863911
"TCGA-22-5471",16.1919,3.1876,"JAK3",4.10365709107633,2.06612364246529,2.03753344861103
"TCGA-22-5472",10.4543,11.0001,"JAK3",3.51781738963765,3.58497452312974,-0.0671571334920866
"TCGA-22-5478",15.9117,6.2387,"JAK3",4.07994978469416,2.85573062659658,1.22421915809758
"TCGA-22-5481",17.4308,7.2,"JAK3",4.20404678826423,3.03562390973072,1.16842287853351
"TCGA-22-5482",2.7909,12.1442,"JAK3",1.92254040021552,3.71635443226706,-1.79381403205155
"TCGA-22-5483",8.4838,8.2202,"JAK3",3.24546523873192,3.20479804521847,0.0406671935134533
"TCGA-22-5489",13.2592,8.6403,"JAK3",3.83382113779058,3.26907804290522,0.564743094885363
"TCGA-22-5491",2.7788,6.7035,"JAK3",1.91792816330712,2.94551406728707,-1.02758590397996
"TCGA-33-4587",4.2204,3.8433,"JAK3",2.38416035390382,2.27599036802474,0.108169985879081
"TCGA-33-6737",7.2876,11.8741,"JAK3",3.05095437320516,3.68639967507287,-0.635445301867708
"TCGA-34-7107",7.1145,12.277,"JAK3",3.02050220139752,3.73085729473023,-0.710355093332711
"TCGA-34-8454",23.0765,16.2179,"JAK3",4.58955377769747,4.10583728847367,0.483716489223793
"TCGA-39-5040",8.1391,5.2435,"JAK3",3.19205209860196,2.64235500618135,0.549697092420606
"TCGA-43-3394",4.2347,3.8634,"JAK3",2.38810685885348,2.28196525377777,0.106141605075709
"TCGA-43-5670",25.9485,9.1856,"JAK3",4.75213306720513,3.34845906208647,1.40367400511866
"TCGA-43-6143",4.0868,10.0136,"JAK3",2.3467583722268,3.46121421258398,-1.11445584035718
"TCGA-43-6647",21.4148,7.5027,"JAK3",4.48637972163285,3.08792103631855,1.3984586853143
"TCGA-43-6771",5.8858,14.6686,"JAK3",2.78362427803265,3.96980437467944,-1.18618009664679
"TCGA-43-6773",14.5371,13.3408,"JAK3",3.95764534470448,3.8420536017612,0.115591742943281
"TCGA-43-7657",2.916,8.5229,"JAK3",1.96938076494161,3.25140098304027,-1.28202021809866
"TCGA-43-7658",14.9606,4.4433,"JAK3",3.99644298208383,2.444481550409,1.55196143167484
"TCGA-51-4079",4.4214,5.0297,"JAK3",2.43866545531455,2.59208622446715,-0.153420769152605
"TCGA-51-4080",3.5933,15.7632,"JAK3",2.19953101268537,4.06722567253197,-1.86769465984661
"TCGA-51-4081",8.0364,16.588,"JAK3",3.17574813363979,4.13651953255056,-0.960771398910768
"TCGA-56-7222",5.1457,2.1918,"JAK3",2.61957734404188,1.67437025430211,0.945207089739762
"TCGA-56-7579",5.9835,13.2249,"JAK3",2.80395026954251,3.83034660541492,-1.02639633587241
