"Gene","Comparison","Early_stage_definition","Early_tumor_n","Normal_n","Early_tumor_median_TPM","Normal_median_TPM","Median_log2TPM1_difference","Direction","Wilcoxon_P","Aberrant_early_n","Aberrant_early_percent","Wilcoxon_FDR"
"JAK3","Stage I tumor vs normal","Stage I",207,51,9.8183,9.175,0.0884450157397354,"UP",0.209527460728995,44,21.256038647343,0.209527460728995
"EPHB2","Stage I tumor vs normal","Stage I",207,51,6.7479,2.1813,1.28418890761459,"UP",1.68753899743024e-14,126,60.8695652173913,3.37507799486048e-14
