"Gene","Group","N","Deaths","Median_OS_years"
"JAK3","Reference",337,130,4.08487337440109
"JAK3","Aberrant",171,53,4.86789869952088
"EPHB2","Reference",196,57,6.34633812457221
"EPHB2","Aberrant",312,126,3.44421629021218
