"Gene","Stage","N","Median_TPM","Mean_TPM","Aberrant_n","Aberrant_percent"
"JAK3","Stage I",220,11.9278,15.0923006818182,80,36.3636363636364
"JAK3","Stage II",91,11.7524,14.8027065934066,30,32.967032967033
"JAK3","Stage III",63,11.4668,13.113946031746,17,26.984126984127
"JAK3","Stage IV",22,13.0758,12.5168318181818,8,36.3636363636364
"EPHB2","Stage I",220,5.8611,9.83239090909091,125,56.8181818181818
"EPHB2","Stage II",91,5.777,11.0405857142857,53,58.2417582417582
"EPHB2","Stage III",63,9.1368,13.4961349206349,44,69.8412698412698
"EPHB2","Stage IV",22,8.593,8.97105,15,68.1818181818182
