"Gene","Direction","Tumor_patient_n","Normal_patient_n","Tumor_median_TPM","Normal_median_TPM","Normal_P05_TPM","Normal_P95_TPM","Prevalence_threshold_TPM","Prevalence_definition","Aberrant_tumor_n","Aberrant_tumor_percent"
"JAK3","UP",517,59,12.0118,6.389,2.70914,15.98185,15.98185,"Tumor TPM > normal 95th percentile",173,33.4622823984526
"EPHB2","UP",517,59,6.9005,2.0078,1.00727,5.15018,5.15018,"Tumor TPM > normal 95th percentile",318,61.5087040618955
