"Gene","Survival_patient_n","Survival_deaths","Continuous_model_n","Continuous_HR","Continuous_lower95","Continuous_upper95","Continuous_P","Adjusted_model_n","Adjusted_deaths","Adjusted_HR","Adjusted_lower95","Adjusted_upper95","Adjusted_P","Gene_PH_P","Global_PH_P","Adjustment","Grade_adjustment","Continuous_FDR","Adjusted_FDR"
"JAK3",508,183,508,0.941065658303163,0.790423480614691,1.12041784556913,0.494941754162294,479,172,0.914447219949104,0.7643876483269,1.09396550284788,0.328104406083797,0.851929815841533,0.0807514892206504,"Age + sex + early/advanced pathologic stage","Unavailable: TCGA-LUAD GDC tumor_grade field unpopulated",0.494941754162294,0.328104406083797
"EPHB2",508,183,508,1.19808317744048,1.05761367486674,1.35720947466639,0.00450679032151179,479,172,1.13702522036186,1.00059422004577,1.29205858462764,0.0489447292090728,0.631192296899011,0.0485095267627323,"Age + sex + early/advanced pathologic stage","Unavailable: TCGA-LUAD GDC tumor_grade field unpopulated",0.00901358064302359,0.0978894584181456
