"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-LUAD","7a2e7511-e77e-4805-82a3-cb9f5939ed26","TCGA-44-6146-01A-11R-1755-07","TCGA-44-6146","Primary Tumor","EPHB2","ENSG00000133216",673,4.0451,1.0966,1.1457,"OK"
"TCGA-LUAD","d88c062b-3c19-46e9-92b8-b80f6c3eef56","TCGA-J2-8194-01A-11R-2241-07","TCGA-J2-8194","Primary Tumor","JAK3","ENSG00000105639",1400,12.5379,3.2443,3.2694,"OK"
"TCGA-LUAD","d88c062b-3c19-46e9-92b8-b80f6c3eef56","TCGA-J2-8194-01A-11R-2241-07","TCGA-J2-8194","Primary Tumor","EPHB2","ENSG00000133216",3640,17.7448,4.5916,4.6271,"OK"
"TCGA-LUAD","c96036a1-2f21-47fc-a5ea-54389bf26502","TCGA-55-8203-01A-11R-2241-07","TCGA-55-8203","Primary Tumor","JAK3","ENSG00000105639",2638,14.2682,5.9216,5.8496,"OK"
"TCGA-LUAD","c96036a1-2f21-47fc-a5ea-54389bf26502","TCGA-55-8203-01A-11R-2241-07","TCGA-55-8203","Primary Tumor","EPHB2","ENSG00000133216",767,2.2582,0.9372,0.9258,"OK"
"TCGA-LUAD","3f474548-c7b2-4d5e-9f8d-03c800a094fe","TCGA-55-6986-11A-01R-1949-07","TCGA-55-6986","Solid Tissue Normal","JAK3","ENSG00000105639",982,6.4492,1.9678,1.958,"OK"
"TCGA-LUAD","3f474548-c7b2-4d5e-9f8d-03c800a094fe","TCGA-55-6986-11A-01R-1949-07","TCGA-55-6986","Solid Tissue Normal","EPHB2","ENSG00000133216",710,2.5382,0.7745,0.7706,"OK"
"TCGA-LUAD","8b26e78c-f162-48fc-8c1b-9628baa3ca62","TCGA-55-8621-01A-11R-2403-07","TCGA-55-8621","Primary Tumor","JAK3","ENSG00000105639",1452,14.9443,5.3429,5.5253,"OK"
"TCGA-LUAD","8b26e78c-f162-48fc-8c1b-9628baa3ca62","TCGA-55-8621-01A-11R-2403-07","TCGA-55-8621","Primary Tumor","EPHB2","ENSG00000133216",1128,6.3196,2.2594,2.3365,"OK"
"TCGA-LUAD","8b55c916-963b-41d6-b7ce-7e8ccf958c80","TCGA-49-4501-01A-01R-1206-07","TCGA-49-4501","Primary Tumor","JAK3","ENSG00000105639",1365,7.6017,2.429,2.6904,"OK"
"TCGA-LUAD","8b55c916-963b-41d6-b7ce-7e8ccf958c80","TCGA-49-4501-01A-01R-1206-07","TCGA-49-4501","Primary Tumor","EPHB2","ENSG00000133216",1711,5.1868,1.6574,1.8357,"OK"
"TCGA-LUAD","03680aea-84a2-4775-bb9c-24f8c5907247","TCGA-62-A471-01A-12R-A24H-07","TCGA-62-A471","Primary Tumor","JAK3","ENSG00000105639",1005,10.4271,3.5379,3.7631,"OK"
"TCGA-LUAD","03680aea-84a2-4775-bb9c-24f8c5907247","TCGA-62-A471-01A-12R-A24H-07","TCGA-62-A471","Primary Tumor","EPHB2","ENSG00000133216",465,2.6262,0.891,0.9478,"OK"
"TCGA-LUAD","477d7181-e081-4577-ac06-e508b1239989","TCGA-78-7540-01A-11R-2066-07","TCGA-78-7540","Primary Tumor","JAK3","ENSG00000105639",691,4.2988,1.46,1.6835,"OK"
"TCGA-LUAD","477d7181-e081-4577-ac06-e508b1239989","TCGA-78-7540-01A-11R-2066-07","TCGA-78-7540","Primary Tumor","EPHB2","ENSG00000133216",358,1.2123,0.4117,0.4748,"OK"
"TCGA-LUAD","3c421a7f-8bde-4b4b-90e5-cf0ea11274ab","TCGA-NJ-A7XG-01A-12R-A39D-07","TCGA-NJ-A7XG","Primary Tumor","JAK3","ENSG00000105639",1213,12.7017,3.7124,4.007,"OK"
"TCGA-LUAD","3c421a7f-8bde-4b4b-90e5-cf0ea11274ab","TCGA-NJ-A7XG-01A-12R-A39D-07","TCGA-NJ-A7XG","Primary Tumor","EPHB2","ENSG00000133216",838,4.7766,1.3961,1.5069,"OK"
"TCGA-LUAD","3d08a99f-46c1-4e06-a042-521a54ebbe1e","TCGA-91-6848-01A-11R-1949-07","TCGA-91-6848","Primary Tumor","JAK3","ENSG00000105639",1406,27.6977,8.1051,7.4639,"OK"
