"patient_id","Tumor_TPM","Normal_TPM","Gene","Tumor_log2TPM1","Normal_log2TPM1","Difference"
"TCGA-38-4625",9.2444,1.8992,"JAK3",3.35676358510543,1.53565486049679,1.82110872460865
"TCGA-38-4626",9.5087,2.9537,"JAK3",3.39351230371601,1.98320340598562,1.41030889773039
"TCGA-38-4627",8.3425,4.6979,"JAK3",3.22380865860602,2.5104303021163,0.713378356489722
"TCGA-38-4632",9.5504,4.9184,"JAK3",3.39922579212094,2.56520720557455,0.834018586546392
"TCGA-44-2655",10.1075,4.2667,"JAK3",3.47346223623528,2.39689928352096,1.07656295271432
"TCGA-44-2657",24.4634,30.545,"JAK3",4.67035316281648,4.97933944567821,-0.30898628286173
"TCGA-44-2661",13.8925,6.7084,"JAK3",3.89651405396884,2.94643143710372,0.950082616865126
"TCGA-44-2662",14.766,7.1116,"JAK3",3.97874477453668,3.01998651177856,0.958758262758124
"TCGA-44-2665",23.8406,4.7759,"JAK3",4.6346281157312,2.53004576460165,2.10458235112955
"TCGA-44-2668",13.3082,6.8753,"JAK3",3.83877028446339,2.97733488226417,0.861435402199214
"TCGA-44-3396",17.1684,9.5996,"JAK3",4.18335946912625,3.40593791732632,0.777421551799931
"TCGA-44-3398",8.666,6.7697,"JAK3",3.27291899476564,2.95785889504639,0.31506009971925
"TCGA-44-5645",13.5433,5.4143,"JAK3",3.86228276121847,2.68129183092187,1.1809909302966
"TCGA-44-6145",18.7575,6.5235,"JAK3",4.30432850305588,2.91140397279921,1.39292453025667
"TCGA-44-6146",2.9261,6.9068,"JAK3",1.9730969195353,2.98309393259779,-1.00999701306249
"TCGA-44-6147",12.1185,7.9136,"JAK3",3.71353086314538,3.15600822110713,0.557522642038254
"TCGA-44-6148",7.5888,5.4137,"JAK3",3.10245657665073,2.68115687348109,0.421299703169645
"TCGA-44-6776",3.2018,3.9235,"JAK3",2.07100749331151,2.29968425813695,-0.228676764825449
"TCGA-44-6777",14.2694,6.6535,"JAK3",3.93257146848046,2.93611965341265,0.996451815067809
"TCGA-44-6778",28.713,10.4988,"JAK3",4.89302237042827,3.52341140611087,1.3696109643174
"TCGA-49-4490",12.5518,3.0151,"JAK3",3.76041258326387,2.00543591992378,1.75497666334009
"TCGA-49-4512",8.5238,3.2733,"JAK3",3.2515373243002,2.09535060260751,1.15618672169269
"TCGA-49-6742",9.008,2.6978,"JAK3",3.32308178950373,1.88666719694032,1.43641459256342
"TCGA-49-6743",16.5761,2.7172,"JAK3",4.13554307806192,1.89421631296313,2.24132676509879
"TCGA-49-6744",14.4632,3.1027,"JAK3",3.95076700059314,2.03657366450685,1.91419333608629
"TCGA-49-6745",10.7443,2.2662,"JAK3",3.55388882129628,1.70761313449235,1.84627568680392
"TCGA-49-6761",19.3623,4.9798,"JAK3",4.34782862345153,2.58009723294623,1.7677313905053
"TCGA-50-5930",9.2325,3.7031,"JAK3",3.35508676166836,2.23361200792847,1.12147475373989
"TCGA-50-5931",8.1473,2.7278,"JAK3",3.19334596728341,1.89832446011337,1.29502150717003
"TCGA-50-5932",2.1734,3.9799,"JAK3",1.66602938121304,2.31611677222255,-0.650087391009509
"TCGA-50-5933",14.5953,6.389,"JAK3",3.96303940036309,2.88537912855803,1.07766027180506
"TCGA-50-5935",16.994,5.503,"JAK3",4.16944402292781,2.70110542377817,1.46833859914964
"TCGA-50-5936",13.7112,6.1765,"JAK3",3.87884302764179,2.84328040898502,1.03556261865676
"TCGA-50-5939",15.8535,3.6078,"JAK3",4.07497632476891,2.20407809844905,1.87089822631986
"TCGA-50-6595",15.4998,9.1557,"JAK3",4.04437663203985,3.344217778315,0.700158853724856
"TCGA-55-6968",14.1055,15.9744,"JAK3",3.91700203370872,4.08528867481699,-0.168286641108272
"TCGA-55-6969",17.4535,9.8711,"JAK3",4.2058225672034,3.44242602276438,0.763396544439018
"TCGA-55-6970",12.814,16.0489,"JAK3",3.78805922364955,4.09160675403478,-0.303547530385231
"TCGA-55-6971",29.0263,5.0342,"JAK3",4.9081548041972,2.59316251455329,2.31499228964391
"TCGA-55-6972",7.4495,9.8382,"JAK3",3.07886597229862,3.43805326977996,-0.359187297481342
"TCGA-55-6975",10.398,8.1559,"JAK3",3.5107087926795,3.19470170598098,0.316007086698523
"TCGA-55-6978",38.0141,8.0135,"JAK3",5.28592371434314,3.17208742259293,2.11383629175021
"TCGA-55-6979",23.549,8.9658,"JAK3",4.61759235264833,3.31698562139216,1.30060673125617
"TCGA-55-6980",11.8555,8.5994,"JAK3",3.68431381812717,3.26294423457586,0.421369583551317
"TCGA-55-6981",7.749,8.3877,"JAK3",3.12911812808932,3.23077173881168,-0.101653610722362
"TCGA-55-6982",8.0316,18.1084,"JAK3",3.17498159209018,4.25613507735221,-1.08115348526203
"TCGA-55-6983",19.376,7.9541,"JAK3",4.34879895961211,3.16254843044812,1.18625052916398
"TCGA-55-6984",8.9802,2.9675,"JAK3",3.31906872699711,1.98823022306046,1.33083850393665
"TCGA-55-6985",17.3533,6.5612,"JAK3",4.19796758387383,2.91861521548657,1.27935236838726
"TCGA-55-6986",9.2135,6.4492,"JAK3",3.35240543391063,2.89708549698349,0.455319936927141
"TCGA-73-4676",5.1552,3.1396,"JAK3",2.62180573474717,2.0494913701651,0.572314364582062
"TCGA-91-6828",16.0643,4.4102,"JAK3",4.09290932929239,2.43568192744855,1.65722740184384
"TCGA-91-6829",8.7867,3.1117,"JAK3",3.29082247615041,2.03973500570366,1.25108747044675
