"Gene","Comparison","Early_stage_definition","Early_tumor_n","Normal_n","Early_tumor_median_TPM","Normal_median_TPM","Median_log2TPM1_difference","Direction","Wilcoxon_P","Aberrant_early_n","Aberrant_early_percent","Wilcoxon_FDR"
"JAK3","Stage I+II tumor vs normal","Stage I + Stage II",311,59,11.8613,6.389,0.79958544171397,"UP",4.44089209850063e-16,110,35.3697749196141,4.44089209850063e-16
"EPHB2","Stage I+II tumor vs normal","Stage I + Stage II",311,59,5.7837,2.0078,1.17336373011181,"UP",0,178,57.2347266881029,0
