"project","sample_barcode","patient_id","sample_type","file_id","gene_id","gene_name","unstranded_count","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BLCA","TCGA-XF-AAMH-01A-11R-A42T-07","TCGA-XF-AAMH","Primary Tumor","a4dbc388-4b0d-499a-82a8-77ca1aed53da","ENSG00000105639.20","JAK3",281,2.7756,0.9282,1.1254,"OK"
"TCGA-BLCA","TCGA-CF-A47W-01A-11R-A23W-07","TCGA-CF-A47W","Primary Tumor","2279f129-d06d-43f7-9f16-6e8d3a4feb56","ENSG00000105639.20","JAK3",673,4.5949,1.8921,2.4258,"OK"
"TCGA-BLCA","TCGA-4Z-AA7M-01A-11R-A39I-07","TCGA-4Z-AA7M","Primary Tumor","4355a25b-da41-4e70-8c23-1d5ddfdbf7ea","ENSG00000105639.20","JAK3",643,8.1159,2.6113,2.4986,"OK"
"TCGA-BLCA","TCGA-E7-A8O7-01A-11R-A36F-07","TCGA-E7-A8O7","Primary Tumor","5916b276-8e9d-41e6-8c41-3030c48cbdce","ENSG00000105639.20","JAK3",853,7.1036,2.224,2.0934,"OK"
"TCGA-BLCA","TCGA-ZF-A9RE-01A-11R-A38B-07","TCGA-ZF-A9RE","Primary Tumor","8282ed85-8ba2-4a43-93cc-69bb7be57353","ENSG00000105639.20","JAK3",148,1.8239,0.5726,0.5795,"OK"
"TCGA-BLCA","TCGA-XF-AAN3-01A-11R-A42T-07","TCGA-XF-AAN3","Primary Tumor","1b490f2b-97bb-4229-853d-d566ecc341d6","ENSG00000105639.20","JAK3",1637,6.973,2.1091,2.406,"OK"
"TCGA-BLCA","TCGA-G2-A2EC-01A-11R-A180-07","TCGA-G2-A2EC","Primary Tumor","b90c65f0-a8e2-4e44-96a6-fcaa6d71ebed","ENSG00000105639.20","JAK3",1682,11.4123,4.5049,5.0131,"OK"
"TCGA-BLCA","TCGA-G2-AA3B-01A-11R-A39I-07","TCGA-G2-AA3B","Primary Tumor","a1d27fd6-5666-4124-a317-a1f6cd2b2935","ENSG00000105639.20","JAK3",674,3.5901,1.6237,1.8809,"OK"
"TCGA-BLCA","TCGA-ZF-AA5P-01A-11R-A39I-07","TCGA-ZF-AA5P","Primary Tumor","261618b0-d45b-4115-aab1-aebaf576d6ae","ENSG00000105639.20","JAK3",1277,12.4407,4.6435,5.3128,"OK"
"TCGA-BLCA","TCGA-GD-A3OP-01A-21R-A220-07","TCGA-GD-A3OP","Primary Tumor","e33cec2a-d24a-4fef-b5c6-dba7123a6005","ENSG00000105639.20","JAK3",1045,7.2044,2.3938,2.3534,"OK"
"TCGA-BLCA","TCGA-DK-A1AC-01A-11R-A13Y-07","TCGA-DK-A1AC","Primary Tumor","627e89e2-8297-482b-9e59-2382e0e66da5","ENSG00000105639.20","JAK3",1323,11.0124,3.3083,3.3757,"OK"
"TCGA-BLCA","TCGA-CF-A3MG-01A-11R-A20F-07","TCGA-CF-A3MG","Primary Tumor","93c4cd53-899b-421f-9bf4-360f8010aab4","ENSG00000105639.20","JAK3",93,1.1171,0.3437,0.3303,"OK"
"TCGA-BLCA","TCGA-FD-A3B5-01A-11R-A20F-07","TCGA-FD-A3B5","Primary Tumor","2fd4f1f9-57c6-4729-a541-6fa8a58950a6","ENSG00000105639.20","JAK3",331,2.4423,0.7733,0.9086,"OK"
"TCGA-BLCA","TCGA-DK-A1A7-01A-11R-A13Y-07","TCGA-DK-A1A7","Primary Tumor","06ea34ab-c935-429d-a2e8-f264a103138c","ENSG00000105639.20","JAK3",532,1.9951,1.3199,2.3899,"OK"
"TCGA-BLCA","TCGA-CF-A8HX-01A-11R-A36F-07","TCGA-CF-A8HX","Primary Tumor","78354679-491a-4177-af56-863fffbd7f23","ENSG00000105639.20","JAK3",563,3.4448,1.904,2.5425,"OK"
"TCGA-BLCA","TCGA-FD-A3SL-01A-21R-A22U-07","TCGA-FD-A3SL","Primary Tumor","db2d5d9c-248d-49ab-9058-0b7d2d5a6884","ENSG00000105639.20","JAK3",588,5.3895,1.8791,2.0939,"OK"
"TCGA-BLCA","TCGA-E7-A7DV-01A-11R-A33J-07","TCGA-E7-A7DV","Primary Tumor","1f2028e7-ec61-4fe1-b8bc-26e909957068","ENSG00000105639.20","JAK3",973,7.4937,2.4814,2.8442,"OK"
"TCGA-BLCA","TCGA-BT-A20Q-11A-11R-A14Y-07","TCGA-BT-A20Q","Solid Tissue Normal","716e7829-401e-42de-b8c4-a07ca3e275cc","ENSG00000105639.20","JAK3",34,0.6257,0.1633,0.2232,"OK"
"TCGA-BLCA","TCGA-DK-A3IM-01A-11R-A20F-07","TCGA-DK-A3IM","Primary Tumor","d8a8fb13-b8db-4294-8f50-1f3087020ee9","ENSG00000105639.20","JAK3",291,2.1541,0.6752,0.7436,"OK"
"TCGA-BLCA","TCGA-BT-A20W-01A-21R-A14Y-07","TCGA-BT-A20W","Primary Tumor","b483de59-dbd3-4fab-924f-2879bafff19b","ENSG00000105639.20","JAK3",773,10.1348,3.5599,3.6535,"OK"
"TCGA-BLCA","TCGA-C4-A0F6-01A-11R-A10U-07","TCGA-C4-A0F6","Primary Tumor","2e7e37e4-d854-4c8f-bfdf-ba8ebb63d8c9","ENSG00000105639.20","JAK3",192,2.7175,1.0183,1.0609,"OK"
"TCGA-BLCA","TCGA-DK-AA6P-01A-11R-A39I-07","TCGA-DK-AA6P","Primary Tumor","ab504dbf-e1f0-46d2-83f9-0f4066055c71","ENSG00000105639.20","JAK3",244,2.9932,1.0184,1.01,"OK"
"TCGA-BLCA","TCGA-GC-A3WC-11A-11R-A22U-07","TCGA-GC-A3WC","Solid Tissue Normal","d6d294a6-caa8-49d2-87a3-73b0aff9e07e","ENSG00000105639.20","JAK3",1439,17.067,5.2311,5.9804,"OK"
"TCGA-BLCA","TCGA-ZF-A9RC-01A-11R-A38B-07","TCGA-ZF-A9RC","Primary Tumor","88e89f3e-3539-4d5d-b2e4-d22c8bd364d8","ENSG00000105639.20","JAK3",626,7.7758,2.7208,2.8024,"OK"
"TCGA-BLCA","TCGA-BL-A13J-11A-13R-A10U-07","TCGA-BL-A13J","Solid Tissue Normal","443fc087-28b0-408b-8e71-66198f1f15a1","ENSG00000105639.20","JAK3",61,0.9894,0.2607,0.3314,"OK"
"TCGA-BLCA","TCGA-BL-A13J-01A-11R-A277-07","TCGA-BL-A13J","Primary Tumor","4760b098-978b-4f2f-9bff-127d8edb48de","ENSG00000105639.20","JAK3",478,4.4485,1.5743,1.5961,"OK"
"TCGA-BLCA","TCGA-FD-A5BV-01A-11R-A26T-07","TCGA-FD-A5BV","Primary Tumor","c29d0f98-e33d-48df-a395-fa431cb1b1ba","ENSG00000105639.20","JAK3",494,5.8803,2.4656,2.5803,"OK"
"TCGA-BLCA","TCGA-FD-A3SP-01A-31R-A22U-07","TCGA-FD-A3SP","Primary Tumor","cb2a6de7-fbad-4101-aeae-c191e64818ae","ENSG00000105639.20","JAK3",2422,25.2959,6.9569,7.466,"OK"
"TCGA-BLCA","TCGA-UY-A78N-01A-12R-A33J-07","TCGA-UY-A78N","Primary Tumor","a0b6f91d-1921-4ec6-825f-c8a1cbc8649e","ENSG00000105639.20","JAK3",545,4.7368,1.5205,1.5591,"OK"
"TCGA-BLCA","TCGA-XF-A9T0-01A-11R-A39I-07","TCGA-XF-A9T0","Primary Tumor","fc157386-3d8e-432b-b2e4-643daaa05e58","ENSG00000105639.20","JAK3",804,9.0148,3.1879,3.1901,"OK"
"TCGA-BLCA","TCGA-ZF-AA4U-01A-11R-A38B-07","TCGA-ZF-AA4U","Primary Tumor","c31ed820-660d-4266-8b67-7a0228f2df77","ENSG00000105639.20","JAK3",135,1.5326,0.5029,0.5402,"OK"
"TCGA-BLCA","TCGA-E7-A5KF-01A-11R-A28M-07","TCGA-E7-A5KF","Primary Tumor","3ba4be06-32ea-47aa-9f6f-2f4befd1bd6b","ENSG00000105639.20","JAK3",234,2.4375,0.708,0.6845,"OK"
"TCGA-BLCA","TCGA-YF-AA3L-01A-11R-A38B-07","TCGA-YF-AA3L","Primary Tumor","152372fc-eebb-4fb5-b388-acdfec0f5e4d","ENSG00000105639.20","JAK3",665,5.9677,2.3837,2.6838,"OK"
