"project","sample_barcode","patient_id","sample_type","file_id","gene_id","gene_name","unstranded_count","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-KIRC","TCGA-A3-3328-01A-01R-0864-07","TCGA-A3-3328","Primary Tumor","04f48a21-1ab5-45d0-ba8a-8b6cd53ca1ff","ENSG00000105639.20","JAK3",99,0.5882,0.2078,0.2227,"OK"
"TCGA-KIRC","TCGA-CZ-4865-11A-01R-1503-07","TCGA-CZ-4865","Solid Tissue Normal","34bd0526-91b2-4b99-a33b-5d4bc8c68d39","ENSG00000105639.20","JAK3",275,2.4041,0.7377,0.7347,"OK"
"TCGA-KIRC","TCGA-BP-4976-01A-01R-1334-07","TCGA-BP-4976","Primary Tumor","ba97a1ce-36b3-4212-960b-b64a7cc2ea82","ENSG00000105639.20","JAK3",631,4.141,1.1108,1.1649,"OK"
"TCGA-KIRC","TCGA-BP-5006-01A-01R-1334-07","TCGA-BP-5006","Primary Tumor","ba3ab6f6-109b-485c-b600-d6cf3edb4b28","ENSG00000105639.20","JAK3",702,4.2606,1.4843,1.6251,"OK"
"TCGA-KIRC","TCGA-AK-3429-01A-02R-1325-07","TCGA-AK-3429","Primary Tumor","06632416-4901-4939-b250-35cd1b8b8323","ENSG00000105639.20","JAK3",1123,11.8304,4.025,4.2524,"OK"
"TCGA-KIRC","TCGA-BP-4327-01A-01R-1289-07","TCGA-BP-4327","Primary Tumor","bb4ec992-dd81-4758-b4f2-7560fbc4cf2b","ENSG00000105639.20","JAK3",3010,22.2962,8.4275,9.3167,"OK"
"TCGA-KIRC","TCGA-BP-5181-01A-01R-1426-07","TCGA-BP-5181","Primary Tumor","a78e44f3-6e93-47f4-9653-2ce1b1d7d25d","ENSG00000105639.20","JAK3",1322,12.069,3.4109,3.5742,"OK"
"TCGA-KIRC","TCGA-DV-5576-01A-01R-1541-07","TCGA-DV-5576","Primary Tumor","96ae86b9-6d2a-4b13-9765-a0a5b71519c4","ENSG00000105639.20","JAK3",1176,11.075,2.9791,3.0209,"OK"
"TCGA-KIRC","TCGA-CW-5584-01A-01R-1541-07","TCGA-CW-5584","Primary Tumor","f1d244a9-f031-4286-b433-572de7ed8d42","ENSG00000105639.20","JAK3",1503,13.0135,3.7415,3.6807,"OK"
"TCGA-KIRC","TCGA-B0-4707-01A-01R-1277-07","TCGA-B0-4707","Primary Tumor","4b2c1bf1-9a07-4b71-8a9a-c60c9564b686","ENSG00000105639.20","JAK3",1062,9.2577,4.3963,5.8848,"OK"
"TCGA-KIRC","TCGA-CW-5584-11A-01R-1541-07","TCGA-CW-5584","Solid Tissue Normal","0699530d-22a4-4fb0-a17c-ff78397c5316","ENSG00000105639.20","JAK3",1069,9.8197,3.0309,2.965,"OK"
"TCGA-KIRC","TCGA-BP-4762-01A-02R-1289-07","TCGA-BP-4762","Primary Tumor","4dcd0f2b-a6c0-4732-92eb-37a593afd93a","ENSG00000105639.20","JAK3",643,5.857,1.6476,1.7458,"OK"
"TCGA-KIRC","TCGA-CZ-5984-01A-11R-1672-07","TCGA-CZ-5984","Primary Tumor","a136ae8b-1e0d-4843-a461-ce554ad77458","ENSG00000105639.20","JAK3",5079,36.7351,11.2259,12.1817,"OK"
"TCGA-KIRC","TCGA-BP-4347-01A-01R-1289-07","TCGA-BP-4347","Primary Tumor","9befd66c-7e2b-4081-b933-3c69d94cad96","ENSG00000105639.20","JAK3",1370,7.5297,2.5256,2.6524,"OK"
"TCGA-KIRC","TCGA-BP-5007-01A-01R-1334-07","TCGA-BP-5007","Primary Tumor","a3bdc783-f9de-42d6-b0ad-eadec504b7d8","ENSG00000105639.20","JAK3",1541,10.704,3.361,3.6082,"OK"
"TCGA-KIRC","TCGA-B0-5116-01A-02R-1420-07","TCGA-B0-5116","Primary Tumor","83300c43-0958-4165-99cf-e956cb47d38b","ENSG00000105639.20","JAK3",2020,15.4126,5.1738,6.124,"OK"
