"patient_id","sample_type","TPM"
"TCGA-B2-5636","Solid Tissue Normal",4.8913
"TCGA-B2-5641","Solid Tissue Normal",2.6125
"TCGA-B8-4619","Solid Tissue Normal",1.5208
"TCGA-B8-4620","Solid Tissue Normal",5.2847
"TCGA-B8-4622","Solid Tissue Normal",2.0013
"TCGA-B8-5549","Solid Tissue Normal",1.8588
"TCGA-B8-5552","Solid Tissue Normal",10.5973
"TCGA-CJ-5672","Solid Tissue Normal",2.1861
"TCGA-CJ-5676","Solid Tissue Normal",5.6152
"TCGA-CJ-5677","Solid Tissue Normal",3.3542
"TCGA-CJ-5678","Solid Tissue Normal",1.3716
"TCGA-CJ-5679","Solid Tissue Normal",4.9182
"TCGA-CJ-5680","Solid Tissue Normal",8.2802
"TCGA-CJ-5681","Solid Tissue Normal",1.4793
"TCGA-CJ-5689","Solid Tissue Normal",5.3642
"TCGA-CJ-6030","Solid Tissue Normal",2.1045
"TCGA-CJ-6033","Solid Tissue Normal",3.4994
"TCGA-CW-5580","Solid Tissue Normal",1.9594
"TCGA-CW-5581","Solid Tissue Normal",0.7878
"TCGA-CW-5584","Solid Tissue Normal",9.8197
"TCGA-CW-5585","Solid Tissue Normal",1.0935
"TCGA-CW-5587","Solid Tissue Normal",1.3075
"TCGA-CW-5589","Solid Tissue Normal",2.5372
"TCGA-CW-5591","Solid Tissue Normal",16.776
"TCGA-CW-6087","Solid Tissue Normal",0.9156
"TCGA-CW-6088","Solid Tissue Normal",1.3522
"TCGA-CW-6090","Solid Tissue Normal",0.8703
"TCGA-CZ-4863","Solid Tissue Normal",2.7535
"TCGA-CZ-4864","Solid Tissue Normal",1.2499
"TCGA-CZ-4865","Solid Tissue Normal",2.4041
"TCGA-CZ-5451","Solid Tissue Normal",0.8602
"TCGA-CZ-5452","Solid Tissue Normal",1.3319
"TCGA-CZ-5453","Solid Tissue Normal",2.4805
"TCGA-CZ-5454","Solid Tissue Normal",2.4259
"TCGA-CZ-5455","Solid Tissue Normal",1.4283
"TCGA-CZ-5456","Solid Tissue Normal",1.5602
"TCGA-CZ-5457","Solid Tissue Normal",2.8837
"TCGA-CZ-5458","Solid Tissue Normal",1.7496
"TCGA-CZ-5461","Solid Tissue Normal",2.5926
"TCGA-CZ-5462","Solid Tissue Normal",1.6586
"TCGA-CZ-5463","Solid Tissue Normal",1.7389
"TCGA-CZ-5465","Solid Tissue Normal",1.4305
"TCGA-CZ-5466","Solid Tissue Normal",1.8802
"TCGA-CZ-5467","Solid Tissue Normal",2.0582
"TCGA-CZ-5468","Solid Tissue Normal",3.0678
"TCGA-CZ-5469","Solid Tissue Normal",2.2967
"TCGA-CZ-5470","Solid Tissue Normal",2.2998
"TCGA-CZ-5982","Solid Tissue Normal",0.394
"TCGA-CZ-5984","Solid Tissue Normal",1.9953
"TCGA-CZ-5985","Solid Tissue Normal",0.3883
"TCGA-CZ-5986","Solid Tissue Normal",1.0576
"TCGA-CZ-5987","Solid Tissue Normal",7.5327
"TCGA-CZ-5988","Solid Tissue Normal",0.9812
"TCGA-CZ-5989","Solid Tissue Normal",6.0098
