"patient_id","sample_type","TPM"
"TCGA-B0-4848","Primary Tumor",19.3031
"TCGA-B0-4849","Primary Tumor",16.9655
"TCGA-B0-4852","Primary Tumor",6.7377
"TCGA-B0-4945","Primary Tumor",11.0989
"TCGA-B0-5075","Primary Tumor",11.9488
"TCGA-B0-5077","Primary Tumor",19.0467
"TCGA-B0-5080","Primary Tumor",17.5912
"TCGA-B0-5081","Primary Tumor",38.612
"TCGA-B0-5083","Primary Tumor",3.5789
"TCGA-B0-5084","Primary Tumor",16.3192
"TCGA-B0-5085","Primary Tumor",4.1213
"TCGA-B0-5088","Primary Tumor",13.1558
"TCGA-B0-5092","Primary Tumor",29.9275
"TCGA-B0-5094","Primary Tumor",42.6448
"TCGA-B0-5095","Primary Tumor",27.5487
"TCGA-B0-5096","Primary Tumor",13.0625
"TCGA-B0-5097","Primary Tumor",28.6705
"TCGA-B0-5098","Primary Tumor",5.2833
"TCGA-B0-5099","Primary Tumor",5.2384
"TCGA-B0-5100","Primary Tumor",12.2812
"TCGA-B0-5102","Primary Tumor",6.3466
"TCGA-B0-5104","Primary Tumor",6.6826
"TCGA-B0-5106","Primary Tumor",29.7555
"TCGA-B0-5107","Primary Tumor",26.8548
"TCGA-B0-5108","Primary Tumor",40.1346
"TCGA-B0-5109","Primary Tumor",22.0618
"TCGA-B0-5110","Primary Tumor",11.1782
"TCGA-B0-5113","Primary Tumor",17.2307
"TCGA-B0-5115","Primary Tumor",7.8539
"TCGA-B0-5116","Primary Tumor",15.4126
"TCGA-B0-5117","Primary Tumor",1.1122
"TCGA-B0-5119","Primary Tumor",14.8799
"TCGA-B0-5120","Primary Tumor",12.2869
"TCGA-B0-5121","Primary Tumor",7.2449
"TCGA-B0-5399","Primary Tumor",16.3009
"TCGA-B0-5400","Primary Tumor",29.3627
"TCGA-B0-5402","Primary Tumor",5.8376
"TCGA-B0-5690","Primary Tumor",9.3306
"TCGA-B0-5691","Primary Tumor",13.5959
"TCGA-B0-5692","Primary Tumor",45.6451
"TCGA-B0-5693","Primary Tumor",5.5314
"TCGA-B0-5694","Primary Tumor",10.6302
"TCGA-B0-5695","Primary Tumor",4.0637
"TCGA-B0-5696","Primary Tumor",5.2731
"TCGA-B0-5697","Primary Tumor",16.2404
"TCGA-B0-5698","Primary Tumor",8.5541
"TCGA-B0-5699","Primary Tumor",12.378
"TCGA-B0-5700","Primary Tumor",8.8484
"TCGA-B0-5701","Primary Tumor",12.4675
"TCGA-B0-5702","Primary Tumor",42.4112
"TCGA-B0-5703","Primary Tumor",9.3813
"TCGA-B0-5705","Primary Tumor",5.3553
"TCGA-B0-5706","Primary Tumor",13.2457
"TCGA-B0-5707","Primary Tumor",8.0127
"TCGA-B0-5709","Primary Tumor",20.6616
"TCGA-B0-5710","Primary Tumor",23.32
"TCGA-B0-5711","Primary Tumor",17.9987
"TCGA-B0-5712","Primary Tumor",13.009
"TCGA-B0-5713","Primary Tumor",8.518
"TCGA-B0-5812","Primary Tumor",9.3995
"TCGA-B2-3923","Primary Tumor",1.7814
"TCGA-B2-3924","Primary Tumor",16.6259
"TCGA-B2-4098","Primary Tumor",11.8727
"TCGA-B2-4099","Primary Tumor",9.5951
"TCGA-B2-4101","Primary Tumor",19.6075
"TCGA-B2-4102","Primary Tumor",17.0027
"TCGA-B2-5633","Primary Tumor",18.7031
"TCGA-B2-5635","Primary Tumor",23.4403
"TCGA-B2-5636","Primary Tumor",16.1487
"TCGA-B2-5639","Primary Tumor",11.6704
"TCGA-B2-5641","Primary Tumor",33.5536
"TCGA-B2-A4SR","Primary Tumor",13.4928
"TCGA-B4-5377","Primary Tumor",10.2523
"TCGA-B4-5378","Primary Tumor",8.7441
"TCGA-B4-5832","Primary Tumor",7.4702
"TCGA-B4-5834","Primary Tumor",12.8325
"TCGA-B4-5835","Primary Tumor",4.009
"TCGA-B4-5836","Primary Tumor",14.5336
"TCGA-B4-5838","Primary Tumor",5.6405
"TCGA-B4-5843","Primary Tumor",10.353
"TCGA-B4-5844","Primary Tumor",4.5527
"TCGA-B8-4143","Primary Tumor",47.0592
"TCGA-B8-4146","Primary Tumor",3.8806
"TCGA-B8-4148","Primary Tumor",23.9291
"TCGA-B8-4151","Primary Tumor",2.692
"TCGA-B8-4153","Primary Tumor",7.1459
"TCGA-B8-4154","Primary Tumor",3.1357
"TCGA-B8-4619","Primary Tumor",1.2536
"TCGA-B8-4620","Primary Tumor",25.735
"TCGA-B8-4621","Primary Tumor",4.8987
"TCGA-B8-4622","Primary Tumor",12.1846
"TCGA-B8-5158","Primary Tumor",17.989
"TCGA-B8-5159","Primary Tumor",18.7529
"TCGA-B8-5162","Primary Tumor",13.7054
"TCGA-B8-5163","Primary Tumor",32.0708
"TCGA-B8-5164","Primary Tumor",22.3007
"TCGA-B8-5165","Primary Tumor",5.6656
"TCGA-B8-5545","Primary Tumor",12.5189
"TCGA-B8-5546","Primary Tumor",1.5198
"TCGA-B8-5549","Primary Tumor",12.6739
"TCGA-B8-5550","Primary Tumor",9.8619
"TCGA-B8-5551","Primary Tumor",33.8568
"TCGA-B8-5552","Primary Tumor",16.1507
"TCGA-B8-5553","Primary Tumor",12.9348
"TCGA-B8-A54D","Primary Tumor",17.4475
"TCGA-B8-A54E","Primary Tumor",4.503
"TCGA-B8-A54F","Primary Tumor",25.5256
"TCGA-B8-A54G","Primary Tumor",19.7289
"TCGA-B8-A54H","Primary Tumor",10.3714
"TCGA-B8-A54I","Primary Tumor",14.4977
"TCGA-B8-A54J","Primary Tumor",11.2419
"TCGA-B8-A54K","Primary Tumor",16.2127
"TCGA-B8-A7U6","Primary Tumor",11.5268
"TCGA-B8-A8YJ","Primary Tumor",27.7439
"TCGA-BP-4158","Primary Tumor",3.9033
"TCGA-BP-4159","Primary Tumor",3.5962
"TCGA-BP-4160","Primary Tumor",8.8603
"TCGA-BP-4161","Primary Tumor",16.344
"TCGA-BP-4162","Primary Tumor",12.4565
"TCGA-BP-4163","Primary Tumor",13.2309
"TCGA-BP-4164","Primary Tumor",7.0236
"TCGA-BP-4165","Primary Tumor",9.8778
"TCGA-BP-4166","Primary Tumor",4.0158
"TCGA-BP-4167","Primary Tumor",16.0037
"TCGA-BP-4169","Primary Tumor",25.2231
"TCGA-BP-4170","Primary Tumor",7.082
"TCGA-BP-4173","Primary Tumor",56.5274
"TCGA-BP-4174","Primary Tumor",9.5608
"TCGA-BP-4176","Primary Tumor",15.4785
"TCGA-BP-4177","Primary Tumor",7.4261
"TCGA-BP-4325","Primary Tumor",12.0553
"TCGA-BP-4326","Primary Tumor",16.821
"TCGA-BP-4327","Primary Tumor",22.2962
"TCGA-BP-4329","Primary Tumor",4.3359
"TCGA-BP-4330","Primary Tumor",27.0005
"TCGA-BP-4331","Primary Tumor",18.3388
"TCGA-BP-4332","Primary Tumor",18.5456
"TCGA-BP-4334","Primary Tumor",1.2368
"TCGA-BP-4335","Primary Tumor",10.5089
"TCGA-BP-4337","Primary Tumor",14.5523
"TCGA-BP-4338","Primary Tumor",8.348
"TCGA-BP-4340","Primary Tumor",4.2825
"TCGA-BP-4341","Primary Tumor",6.3265
"TCGA-BP-4342","Primary Tumor",24.1419
"TCGA-BP-4343","Primary Tumor",5.4196
"TCGA-BP-4344","Primary Tumor",7.8559
"TCGA-BP-4345","Primary Tumor",20.6076
"TCGA-BP-4346","Primary Tumor",52.3427
"TCGA-BP-4347","Primary Tumor",7.5297
"TCGA-BP-4349","Primary Tumor",8.8764
"TCGA-BP-4351","Primary Tumor",12.6591
"TCGA-BP-4352","Primary Tumor",7.2406
"TCGA-BP-4353","Primary Tumor",16.1786
"TCGA-BP-4354","Primary Tumor",48.6231
"TCGA-BP-4355","Primary Tumor",13.4528
"TCGA-BP-4756","Primary Tumor",5.8157
"TCGA-BP-4758","Primary Tumor",9.7484
"TCGA-BP-4759","Primary Tumor",2.6747
"TCGA-BP-4760","Primary Tumor",11.9651
"TCGA-BP-4761","Primary Tumor",27.5795
"TCGA-BP-4762","Primary Tumor",5.857
"TCGA-BP-4763","Primary Tumor",11.9905
"TCGA-BP-4765","Primary Tumor",6.7892
"TCGA-BP-4766","Primary Tumor",6.1692
"TCGA-BP-4768","Primary Tumor",22.7269
"TCGA-BP-4769","Primary Tumor",9.4274
"TCGA-BP-4770","Primary Tumor",16.3702
"TCGA-BP-4771","Primary Tumor",49.4532
"TCGA-BP-4774","Primary Tumor",6.5224
"TCGA-BP-4775","Primary Tumor",10.2652
"TCGA-BP-4776","Primary Tumor",10.6332
"TCGA-BP-4777","Primary Tumor",14.9974
"TCGA-BP-4781","Primary Tumor",15.136
"TCGA-BP-4782","Primary Tumor",11.8094
"TCGA-BP-4784","Primary Tumor",17.3382
"TCGA-BP-4787","Primary Tumor",20.0194
"TCGA-BP-4789","Primary Tumor",6.0057
"TCGA-BP-4790","Primary Tumor",22.1652
"TCGA-BP-4795","Primary Tumor",11.7827
"TCGA-BP-4797","Primary Tumor",9.0258
"TCGA-BP-4798","Primary Tumor",49.6922
"TCGA-BP-4799","Primary Tumor",7.862
"TCGA-BP-4801","Primary Tumor",10.086
"TCGA-BP-4803","Primary Tumor",16.2764
"TCGA-BP-4804","Primary Tumor",27.8788
"TCGA-BP-4807","Primary Tumor",9.1391
"TCGA-BP-4959","Primary Tumor",6.3647
"TCGA-BP-4960","Primary Tumor",15.588
"TCGA-BP-4961","Primary Tumor",9.7713
"TCGA-BP-4962","Primary Tumor",9.9085
"TCGA-BP-4963","Primary Tumor",14.0022
"TCGA-BP-4964","Primary Tumor",20.8923
"TCGA-BP-4965","Primary Tumor",9.3451
"TCGA-BP-4967","Primary Tumor",15.9678
"TCGA-BP-4968","Primary Tumor",11.1728
"TCGA-BP-4969","Primary Tumor",3.9768
"TCGA-BP-4970","Primary Tumor",16.3164
"TCGA-BP-4971","Primary Tumor",27.1773
"TCGA-BP-4972","Primary Tumor",9.5647
"TCGA-BP-4973","Primary Tumor",9.5717
"TCGA-BP-4974","Primary Tumor",18.8727
"TCGA-BP-4975","Primary Tumor",13.5328
"TCGA-BP-4976","Primary Tumor",4.141
"TCGA-BP-4977","Primary Tumor",20.7271
"TCGA-BP-4981","Primary Tumor",22.0971
"TCGA-BP-4982","Primary Tumor",16.3258
"TCGA-BP-4983","Primary Tumor",41.2131
"TCGA-BP-4985","Primary Tumor",23.1272
"TCGA-BP-4986","Primary Tumor",30.948
"TCGA-BP-4987","Primary Tumor",15.0251
"TCGA-BP-4988","Primary Tumor",81.6626
"TCGA-BP-4989","Primary Tumor",24.8093
"TCGA-BP-4991","Primary Tumor",21.827
"TCGA-BP-4992","Primary Tumor",27.1974
"TCGA-BP-4993","Primary Tumor",7.8411
"TCGA-BP-4994","Primary Tumor",4.1783
"TCGA-BP-4995","Primary Tumor",5.2938
"TCGA-BP-4998","Primary Tumor",22.1827
"TCGA-BP-4999","Primary Tumor",9.2747
"TCGA-BP-5000","Primary Tumor",15.5802
"TCGA-BP-5001","Primary Tumor",7.6138
"TCGA-BP-5004","Primary Tumor",5.4702
"TCGA-BP-5006","Primary Tumor",4.2606
"TCGA-BP-5007","Primary Tumor",10.704
"TCGA-BP-5008","Primary Tumor",17.5872
"TCGA-BP-5009","Primary Tumor",23.951
"TCGA-BP-5010","Primary Tumor",12.3587
"TCGA-BP-5168","Primary Tumor",7.1917
"TCGA-BP-5169","Primary Tumor",15.0377
"TCGA-BP-5170","Primary Tumor",19.4297
"TCGA-BP-5173","Primary Tumor",7.5924
"TCGA-BP-5174","Primary Tumor",2.6922
"TCGA-BP-5175","Primary Tumor",10.9746
"TCGA-BP-5176","Primary Tumor",8.0532
"TCGA-BP-5177","Primary Tumor",4.7139
"TCGA-BP-5178","Primary Tumor",18.6339
"TCGA-BP-5180","Primary Tumor",18.2852
"TCGA-BP-5181","Primary Tumor",12.069
"TCGA-BP-5182","Primary Tumor",9.8338
"TCGA-BP-5183","Primary Tumor",12.6055
"TCGA-BP-5184","Primary Tumor",5.8584
"TCGA-BP-5185","Primary Tumor",13.9786
"TCGA-BP-5186","Primary Tumor",8.741
"TCGA-BP-5187","Primary Tumor",14.3241
"TCGA-BP-5189","Primary Tumor",22.2592
"TCGA-BP-5190","Primary Tumor",9.668
"TCGA-BP-5191","Primary Tumor",13.7625
"TCGA-BP-5192","Primary Tumor",9.2558
"TCGA-BP-5194","Primary Tumor",9.3261
"TCGA-BP-5195","Primary Tumor",9.3302
"TCGA-BP-5196","Primary Tumor",21.1492
"TCGA-BP-5198","Primary Tumor",11.1743
"TCGA-BP-5199","Primary Tumor",33.9397
"TCGA-BP-5200","Primary Tumor",15.2668
"TCGA-BP-5201","Primary Tumor",19.3039
"TCGA-BP-5202","Primary Tumor",6.8965
"TCGA-CJ-4634","Primary Tumor",6.9771
"TCGA-CJ-4635","Primary Tumor",37.737
"TCGA-CJ-4636","Primary Tumor",12.0577
"TCGA-CJ-4637","Primary Tumor",54.846
"TCGA-CJ-4638","Primary Tumor",5.0704
"TCGA-CJ-4639","Primary Tumor",15.7926
"TCGA-CJ-4640","Primary Tumor",9.8214
"TCGA-CJ-4641","Primary Tumor",32.7831
"TCGA-CJ-4642","Primary Tumor",20.5464
"TCGA-CJ-4643","Primary Tumor",11.3129
"TCGA-CJ-4644","Primary Tumor",5.7624
"TCGA-CJ-4868","Primary Tumor",23.8485
"TCGA-CJ-4869","Primary Tumor",16.0819
"TCGA-CJ-4870","Primary Tumor",2.3216
"TCGA-CJ-4871","Primary Tumor",13.9503
"TCGA-CJ-4872","Primary Tumor",15.6771
"TCGA-CJ-4873","Primary Tumor",13.3683
"TCGA-CJ-4874","Primary Tumor",6.7844
"TCGA-CJ-4875","Primary Tumor",8.5672
"TCGA-CJ-4876","Primary Tumor",9.6554
"TCGA-CJ-4878","Primary Tumor",9.7787
"TCGA-CJ-4881","Primary Tumor",22.4104
"TCGA-CJ-4882","Primary Tumor",40.1163
"TCGA-CJ-4884","Primary Tumor",7.9712
"TCGA-CJ-4885","Primary Tumor",7.0424
"TCGA-CJ-4886","Primary Tumor",13.9286
"TCGA-CJ-4887","Primary Tumor",12.6744
"TCGA-CJ-4888","Primary Tumor",43.4066
"TCGA-CJ-4889","Primary Tumor",16.2164
"TCGA-CJ-4890","Primary Tumor",30.0053
"TCGA-CJ-4891","Primary Tumor",10.3249
"TCGA-CJ-4892","Primary Tumor",17.3082
"TCGA-CJ-4893","Primary Tumor",8.3637
"TCGA-CJ-4894","Primary Tumor",26.5781
"TCGA-CJ-4895","Primary Tumor",35.6588
"TCGA-CJ-4897","Primary Tumor",4.1447
"TCGA-CJ-4899","Primary Tumor",16.1372
"TCGA-CJ-4900","Primary Tumor",17.5553
"TCGA-CJ-4901","Primary Tumor",33.9303
"TCGA-CJ-4902","Primary Tumor",22.1119
"TCGA-CJ-4903","Primary Tumor",9.942
"TCGA-CJ-4904","Primary Tumor",5.9364
"TCGA-CJ-4905","Primary Tumor",4.4459
"TCGA-CJ-4907","Primary Tumor",7.4338
"TCGA-CJ-4908","Primary Tumor",15.9119
"TCGA-CJ-4912","Primary Tumor",13.8941
"TCGA-CJ-4916","Primary Tumor",21.0195
"TCGA-CJ-4918","Primary Tumor",13.8237
"TCGA-CJ-4920","Primary Tumor",20.1447
"TCGA-CJ-4923","Primary Tumor",26.1206
"TCGA-CJ-5671","Primary Tumor",34.4857
"TCGA-CJ-5672","Primary Tumor",14.7186
"TCGA-CJ-5675","Primary Tumor",23.1592
"TCGA-CJ-5676","Primary Tumor",16.6638
"TCGA-CJ-5677","Primary Tumor",13.571
"TCGA-CJ-5678","Primary Tumor",9.7154
"TCGA-CJ-5679","Primary Tumor",15.6755
"TCGA-CJ-5680","Primary Tumor",6.5011
"TCGA-CJ-5681","Primary Tumor",1.5554
"TCGA-CJ-5682","Primary Tumor",21.2968
"TCGA-CJ-5683","Primary Tumor",9.0271
"TCGA-CJ-5684","Primary Tumor",9.4252
"TCGA-CJ-5686","Primary Tumor",18.5082
"TCGA-CJ-5689","Primary Tumor",12.3914
"TCGA-CJ-6027","Primary Tumor",37.2422
"TCGA-CJ-6028","Primary Tumor",22.6738
"TCGA-CJ-6030","Primary Tumor",31.7576
"TCGA-CJ-6031","Primary Tumor",14.0793
"TCGA-CJ-6032","Primary Tumor",4.141
"TCGA-CJ-6033","Primary Tumor",23.9396
"TCGA-CW-5580","Primary Tumor",16.1096
"TCGA-CW-5581","Primary Tumor",7.2483
"TCGA-CW-5583","Primary Tumor",6.0264
"TCGA-CW-5584","Primary Tumor",13.0135
"TCGA-CW-5585","Primary Tumor",1.458
"TCGA-CW-5587","Primary Tumor",14.7355
"TCGA-CW-5588","Primary Tumor",14.8585
"TCGA-CW-5589","Primary Tumor",9.7444
"TCGA-CW-5590","Primary Tumor",9.1215
"TCGA-CW-5591","Primary Tumor",6.2044
"TCGA-CW-6087","Primary Tumor",66.7297
"TCGA-CW-6088","Primary Tumor",7.5658
"TCGA-CW-6090","Primary Tumor",10.0671
"TCGA-CW-6093","Primary Tumor",10.2315
"TCGA-CW-6097","Primary Tumor",24.5705
"TCGA-CZ-4853","Primary Tumor",5.859
"TCGA-CZ-4854","Primary Tumor",25.9496
"TCGA-CZ-4856","Primary Tumor",10.0857
"TCGA-CZ-4857","Primary Tumor",29.2564
"TCGA-CZ-4858","Primary Tumor",36.0539
"TCGA-CZ-4859","Primary Tumor",2.139
"TCGA-CZ-4860","Primary Tumor",16.5853
"TCGA-CZ-4861","Primary Tumor",11.3322
"TCGA-CZ-4862","Primary Tumor",37.8943
"TCGA-CZ-4863","Primary Tumor",22.0022
"TCGA-CZ-4864","Primary Tumor",13.5835
"TCGA-CZ-4865","Primary Tumor",6.4535
"TCGA-CZ-4866","Primary Tumor",2.4483
"TCGA-CZ-5451","Primary Tumor",4.0786
"TCGA-CZ-5452","Primary Tumor",14.9681
"TCGA-CZ-5453","Primary Tumor",7.4348
"TCGA-CZ-5454","Primary Tumor",8.5141
"TCGA-CZ-5455","Primary Tumor",17.6622
"TCGA-CZ-5456","Primary Tumor",24.0474
"TCGA-CZ-5457","Primary Tumor",5.186
"TCGA-CZ-5458","Primary Tumor",7.8933
"TCGA-CZ-5459","Primary Tumor",12.6375
"TCGA-CZ-5460","Primary Tumor",7.0044
"TCGA-CZ-5461","Primary Tumor",16.1301
"TCGA-CZ-5462","Primary Tumor",18.0037
"TCGA-CZ-5463","Primary Tumor",15.3194
"TCGA-CZ-5464","Primary Tumor",28.7906
"TCGA-CZ-5465","Primary Tumor",5.153
"TCGA-CZ-5466","Primary Tumor",13.2652
"TCGA-CZ-5467","Primary Tumor",8.574
"TCGA-CZ-5468","Primary Tumor",16.3297
