"Gene","Direction","Tumor_patient_n","Normal_patient_n","Tumor_median_TPM","Normal_median_TPM","Normal_P05_TPM","Normal_P95_TPM","Prevalence_threshold_TPM","Prevalence_definition","Aberrant_tumor_n","Aberrant_tumor_percent"
"JAK3","UP",533,72,13.0135,1.97735,0.86361,7.869075,7.869075,"Tumor TPM > normal 95th percentile",401,75.234521575985
"EPHB2","DOWN",533,72,1.3533,3.6278,0.92395,9.56947,0.92395,"Tumor TPM < normal 5th percentile",187,35.0844277673546
