"Gene","Stage_patient_n","Kruskal_Wallis_P","Spearman_rho","Stage_trend_P","Kruskal_Wallis_FDR","Stage_trend_FDR"
"JAK3",444,4.85532195224839e-05,0.209443897346276,8.57626002202034e-06,9.71064390449678e-05,1.71525200440407e-05
"EPHB2",444,0.00757401013890295,0.0664921219482962,0.161910583250995,0.00757401013890295,0.161910583250995
