"Gene","Comparison","Early_stage_definition","Early_tumor_n","Normal_n","Early_tumor_median_TPM","Normal_median_TPM","Median_log2TPM1_difference","Direction","Overall_prevalence_direction","Prevalence_threshold_TPM","Wilcoxon_P","Aberrant_early_n","Aberrant_early_percent","Wilcoxon_FDR"
"JAK3","Stage I+II tumor vs normal","Stage I + Stage II",286,72,11.8199,1.97735,2.10631001235102,"UP","UP",7.869075,0,206,72.027972027972,0
"EPHB2","Stage I+II tumor vs normal","Stage I + Stage II",286,72,1.25045,3.6278,-1.04011672098309,"DOWN","DOWN",0.92395,1.00860113839562e-16,109,38.1118881118881,1.00860113839562e-16
