"Gene","Comparison","Early_stage_definition","Early_tumor_n","Normal_n","Early_tumor_median_TPM","Normal_median_TPM","Median_log2TPM1_difference","Direction","Overall_prevalence_direction","Prevalence_threshold_TPM","Wilcoxon_P","Aberrant_early_n","Aberrant_early_percent","Wilcoxon_FDR"
"JAK3","Stage I tumor vs normal","Stage I",233,72,11.7917,1.97735,2.10313349703058,"UP","UP",7.869075,0,165,70.8154506437768,0
"EPHB2","Stage I tumor vs normal","Stage I",233,72,1.352,3.6278,-0.97643176024116,"DOWN","DOWN",0.92395,3.90617611790098e-15,81,34.7639484978541,3.90617611790098e-15
