"Gene","Matched_patients","Median_paired_log2_difference","Tumor_higher_n","Tumor_lower_n","Paired_Wilcoxon_P","Paired_FDR"
"JAK3",72,2.1554737317903,68,4,5.90638649100583e-13,1.18127729820117e-12
"EPHB2",72,-0.818395355439877,18,54,2.20720720262843e-06,2.20720720262843e-06
