"Comparison","Adjustment","N","Coefficient","SE","T","P","FDR"
"All primary tumors vs normal","Unadjusted",605,1.98959426983627,0.120972969427311,16.4466019083028,1.74125698223753e-50,1.04475418934252e-49
"All primary tumors vs normal","Adjusted for PTPRC/CD45",605,1.21304535727088,0.116837997094634,10.3822847655319,2.42895591784277e-23,4.85791183568554e-23
"All primary tumors vs normal","Adjusted for multi-marker immune score",605,0.505257082804685,0.108448248173251,4.65896952062807,3.91466585613558e-06,4.6975990273627e-06
"Stage I tumors vs normal","Unadjusted",305,1.80357783621568,0.119240536664256,15.1255427614687,6.79293922449011e-39,2.03788176734703e-38
"Stage I tumors vs normal","Adjusted for PTPRC/CD45",305,1.09581092870191,0.121212225849613,9.04043235755334,1.92988408011609e-17,2.89482612017413e-17
"Stage I tumors vs normal","Adjusted for multi-marker immune score",305,0.527442539240368,0.122879908304479,4.29234157575574,2.38440570093381e-05,2.38440570093381e-05
