"Gene","Stage","N","Median_TPM","Mean_TPM","Aberrant_n","Aberrant_percent"
"JAK3","Stage I",233,11.7917,12.9862124463519,165,70.8154506437768
"JAK3","Stage II",53,13.2457,13.7875056603774,41,77.3584905660377
"JAK3","Stage III",102,13.41055,16.6161215686275,79,77.4509803921569
"JAK3","Stage IV",56,17.83295,20.8584803571429,48,85.7142857142857
"EPHB2","Stage I",233,1.352,1.66018540772532,81,34.7639484978541
"EPHB2","Stage II",53,0.881,1.25849811320755,28,52.8301886792453
"EPHB2","Stage III",102,1.27105,2.30783137254902,36,35.2941176470588
"EPHB2","Stage IV",56,1.5795,4.35924642857143,15,26.7857142857143
