"mark","deposited_RPMI_rep2_global_mean","normalized_peer_median","primary_scaling_factor","RPMI_rep1_global_mean","sensitivity_scaling_factor"
"H3K27ac",3.57395664085337,4.1639119964751,1.16507065275444,5.43532809666927,1.52081534357156
"H3K4me1",3.14172539996158,4.16513584631973,1.32574789839069,5.10984512073642,1.62644549418575
"H3K4me3",2.91857903332988,5.61124080512492,1.9225934062587,5.23082387166559,1.79225020529857
