"Gene","Survival_patient_n","Survival_deaths","Continuous_model_n","Continuous_deaths","Continuous_HR","Continuous_lower95","Continuous_upper95","Continuous_P","Adjusted_model_n","Adjusted_deaths","Adjusted_HR","Adjusted_lower95","Adjusted_upper95","Adjusted_P","Gene_PH_P","Global_PH_P","Adjustment","Sex_adjustment","Grade_adjustment","Continuous_FDR","Adjusted_FDR"
"JAK3",1092,151,1092,151,0.853135884195888,0.728608767858502,0.998946031135393,0.0484883543197827,1054,141,0.917824648161611,0.78182419557593,1.07748275064886,0.294666553079992,0.672916315272034,0.0181202071979412,"Age + early/advanced pathologic stage","Excluded: only one male death in complete-case cohort","Unavailable: TCGA-BRCA GDC tumor_grade field unpopulated",0.093034605308257,0.294666553079992
"EPHB2",1092,151,1092,151,1.19275342638274,0.971006373367925,1.46514047195517,0.093034605308257,1054,141,1.17638835141785,0.952575687854559,1.4527869764013,0.131368039608777,0.550150499339008,0.0125334403998584,"Age + early/advanced pathologic stage","Excluded: only one male death in complete-case cohort","Unavailable: TCGA-BRCA GDC tumor_grade field unpopulated",0.093034605308257,0.262736079217554
