"Gene","Model_n","Deaths","Aberrant_group_HR","Lower95","Upper95","P","Group_PH_P","FDR"
"JAK3",1054,141,0.874011709963948,0.564449511561715,1.35334773705546,0.546091474182067,0.709049349214777,0.546091474182067
"EPHB2",1054,141,1.40529575383482,0.999434763000053,1.97597304882426,0.0503812823955394,0.98094452148409,0.100762564791079
