"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BRCA","176e739b-87e2-49b7-80e1-c27a6a632576","TCGA-D8-A1XB-01A-11R-A14D-07","TCGA-D8-A1XB","Primary Tumor","JAK3","ENSG00000105639",258,3.6182,0.8644,0.8362,"OK"
"TCGA-BRCA","176e739b-87e2-49b7-80e1-c27a6a632576","TCGA-D8-A1XB-01A-11R-A14D-07","TCGA-D8-A1XB","Primary Tumor","EPHB2","ENSG00000133216",410,3.1299,0.7477,0.7233,"OK"
"TCGA-BRCA","2c74854f-4afe-48c3-9c81-d64634c14677","TCGA-OL-A6VQ-01A-12R-A41B-07","TCGA-OL-A6VQ","Primary Tumor","JAK3","ENSG00000105639",230,6.8695,1.7842,1.7157,"OK"
"TCGA-BRCA","2c74854f-4afe-48c3-9c81-d64634c14677","TCGA-OL-A6VQ-01A-12R-A41B-07","TCGA-OL-A6VQ","Primary Tumor","EPHB2","ENSG00000133216",204,3.3166,0.8615,0.8284,"OK"
"TCGA-BRCA","cd47d9e9-8072-4681-93ac-6c1420f6624c","TCGA-B6-A0WV-01A-11R-A109-07","TCGA-B6-A0WV","Primary Tumor","JAK3","ENSG00000105639",78,1.1343,0.281,0.2495,"OK"
"TCGA-BRCA","cd47d9e9-8072-4681-93ac-6c1420f6624c","TCGA-B6-A0WV-01A-11R-A109-07","TCGA-B6-A0WV","Primary Tumor","EPHB2","ENSG00000133216",395,3.1268,0.7745,0.6877,"OK"
"TCGA-BRCA","2291d3f5-8269-4f31-adad-4b873c7ac770","TCGA-LL-A442-01A-11R-A24H-07","TCGA-LL-A442","Primary Tumor","JAK3","ENSG00000105639",146,1.1263,0.2864,0.2823,"OK"
"TCGA-BRCA","2291d3f5-8269-4f31-adad-4b873c7ac770","TCGA-LL-A442-01A-11R-A24H-07","TCGA-LL-A442","Primary Tumor","EPHB2","ENSG00000133216",582,2.444,0.6215,0.6126,"OK"
"TCGA-BRCA","51aab02d-11b1-4ef3-a8f3-8146b6c24aad","TCGA-E9-A22G-01A-11R-A157-07","TCGA-E9-A22G","Primary Tumor","JAK3","ENSG00000105639",450,3.0152,0.9732,0.9897,"OK"
"TCGA-BRCA","51aab02d-11b1-4ef3-a8f3-8146b6c24aad","TCGA-E9-A22G-01A-11R-A157-07","TCGA-E9-A22G","Primary Tumor","EPHB2","ENSG00000133216",1103,4.023,1.2985,1.3206,"OK"
"TCGA-BRCA","25294e7a-1f15-411c-a2fd-93097e387db2","TCGA-PE-A5DC-01A-12R-A27Q-07","TCGA-PE-A5DC","Primary Tumor","JAK3","ENSG00000105639",1041,9.6206,3.2065,3.2548,"OK"
"TCGA-BRCA","25294e7a-1f15-411c-a2fd-93097e387db2","TCGA-PE-A5DC-01A-12R-A27Q-07","TCGA-PE-A5DC","Primary Tumor","EPHB2","ENSG00000133216",496,2.4952,0.8316,0.8442,"OK"
"TCGA-BRCA","28aa7b6c-d5ec-4aa1-9c39-70d571efe6fb","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-A2-A0EP","Primary Tumor","JAK3","ENSG00000105639",6390,46.7144,14.6028,15.5105,"OK"
"TCGA-BRCA","28aa7b6c-d5ec-4aa1-9c39-70d571efe6fb","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-A2-A0EP","Primary Tumor","EPHB2","ENSG00000133216",1848,7.354,2.2989,2.4417,"OK"
"TCGA-BRCA","d2007230-83cb-4f12-bec5-e42afc4a58cd","TCGA-AN-A0AK-01A-21R-A00Z-07","TCGA-AN-A0AK","Primary Tumor","JAK3","ENSG00000105639",252,3.0387,0.8348,0.7742,"OK"
