"Gene","Tumor_n","Normal_n","Tumor_median_TPM","Normal_median_TPM","Tumor_mean_TPM","Normal_mean_TPM","Median_log2TPM1_difference","Wilcoxon_P","Wilcoxon_FDR"
"JAK3",1111,113,5.3073,4.7808,7.88152610261026,5.54059557522124,0.125753395209535,0.0550859419702379,0.0550859419702379
"EPHB2",1111,113,3.1833,1.7017,4.15448163816382,1.8823814159292,0.630773977744392,0,0
