"Gene","Comparison","Early_stage_definition","Early_tumor_n","Normal_n","Early_tumor_median_TPM","Normal_median_TPM","Median_log2TPM1_difference","Direction","Wilcoxon_P","Aberrant_early_n","Aberrant_early_percent","Wilcoxon_FDR"
"JAK3","Stage I tumor vs normal","Stage I",174,113,5.4339,4.7808,0.154329951210481,"UP",0.0591129097967622,42,24.1379310344828,0.0591129097967622
"EPHB2","Stage I tumor vs normal","Stage I",174,113,2.8902,1.7017,0.525956418566805,"UP",7.81352760270693e-12,56,32.183908045977,1.56270552054139e-11
