"Gene","Stage_patient_n","Kruskal_Wallis_P","Spearman_rho","Stage_trend_P","Kruskal_Wallis_FDR","Stage_trend_FDR"
"JAK3",265,0.694590108804593,0.0284636203584988,0.64461405033865,0.694590108804593,0.64461405033865
"EPHB2",265,0.0580923278104616,0.167477823763339,0.00628019884573215,0.116184655620923,0.0125603976914643
